artist,artist_id,count,genres
Frat Mouse,5KyiJcvybfUdX8Qm9OhMy8,1,
Freddie Scott,3uuQLSmKyXSXIStTYGKLrT,1,southern soul
Freedom Fry,195hFqaTDENqLCcG8uGtM7,1,folk-pop|indie folk|shimmer pop|stomp and holler
Future Islands,1WvvwcQx0tj6NdDhZZ2zZz,21,alternative dance|baltimore indie|chillwave|indie pop|indie rock|indietronica|modern rock|new rave
G Flip,4SdIXLzfabqU61iK7SnKAU,7,australian alternative pop|australian hip hop|australian indie|australian pop
GIVERS,6t4Gtzu86ovaXYUmAL2zb3,1,lafayette indie|shimmer pop
Gabrielle Aplin,3w6zswp5THsSKYLICUbDTZ,1,acoustic pop|dance pop|indie cafe pop|neo mellow|neo-singer-songwriter|pop|pop rock|uk pop|viral pop
Galactic,4rMUtWPGbE6waga7PQO0oQ,2,funk|funk rock|jam band|new orleans funk
Gang of Youths,142YBUGmLWCJigFLzgguf8,1,australian hip hop|australian indie|australian pop|modern rock
Gardiner Sisters,3J28FLi8jjXtUGWf69cP7I,1,channel pop|lds youth|viral pop
Gary Clark Jr.,01aC2ikO4Xgb2LUpf9JfKp,20,blues rock|electric blues|funk|modern blues|modern blues rock|rock|soul blues|texas blues
Gary Jules,5oRnbmgqvvq7fVlgk4vcEa,1,neo mellow
Gavin Turek,17czHqI0Lwj2V3htvm8afG,1,
Gayngs,3OUN7gnsDijEfvaHpXAAzI,1,chillwave|eau claire indie
Generationals,57MtJQ6Sc4tIxrXIhrqVJL,1,alternative dance|chillwave|indie pop|indie rock|indietronica|modern rock|new orleans indie|shimmer pop|stomp and holler
Geographer,5vvvgOwPjA4R5t07ZXLLwZ,1,bay area indie|chillwave|indie pop|indietronica|shimmer pop
George Erza,0L9bBkGrJkOH5APl0zaNZq,1,
George Ezra,2ysnwxxNtSgbb9t1m2Ur4j,4,folk-pop|neo-singer-songwriter|pop
Gin Wigmore,4Gzfk9Lxm67nBs7E9BZjzG,1,auckland indie|kiwi rock
Glass Animals,4yvcSjfu4PC0CYQyLy4wSq,1,gauze pop|modern rock|shiver pop
